Image Name,Image URL,Album Link
001.jpg,https://i.ibb.co/qxQ2SDL/794a27277508.jpg,
002.jpg,https://i.ibb.co/0cqM59W/300e150c73a5.jpg,
003.jpg,https://i.ibb.co/dff5brc/fd48a7df8f6c.jpg,
004.jpg,https://i.ibb.co/jDNnbNj/bf1b1cbe3a30.jpg,
005.jpg,https://i.ibb.co/W2VggP1/0a21044adac6.jpg,
006.jpg,https://i.ibb.co/6XgXwWf/b05b1d3de7e0.jpg,
Adaa_Jaipur_Ankle_Gown_With_Belt_And__Embroidery_Work__Green_.jpg,https://i.ibb.co/1f3bg1m/395e761a3664.jpg,
Adaa_Jaipur_Ankle_Gown_With_Embroidery_Work__Blue_.jpg,https://i.ibb.co/4FCv7sD/ffb9e3139792.jpg,
Adaa_Jaipur_Black_Printed_Cotton_A_Line_Straight_Kurta.jpg,https://i.ibb.co/1LWP7F9/0a10348da26e.jpg,
Adaa_Jaipur_Blue_Embroidery_Straight_Kurta.jpg,https://i.ibb.co/WKPfbd2/b090170be1ab.jpg,
Adaa_Jaipur_Blue_Printed_Cotton_A_Line_Straight_Kurta.jpg,https://i.ibb.co/K9zzDpc/32f259e5cfbb.jpg,
Adaa_Jaipur_Casual_Regular_Sleeves_Printed_Women_Blue_Top.jpg,https://i.ibb.co/JBCLHZq/4f450aeb561b.jpg,
Adaa_Jaipur_Casual_Regular_Sleeves_Printed_Women_Brown_Top.jpg,https://i.ibb.co/8bDhmZQ/5cecf44a41a4.jpg,
Adaa_Jaipur_Comfort_Floral_Printed_Casual_Shirt.jpg,https://i.ibb.co/7pKsCH2/8a5f1daefeb7.jpg,
Adaa_Jaipur_Green_Embroidery_Kurta_For_Women.jpg,https://i.ibb.co/1ZKrLVj/0bd7d74a61ae.jpg,
Adaa_Jaipur_Green_Straight__Kurta.jpg,https://i.ibb.co/Qkm6YSm/c58a9e3fde0e.jpg,
Adaa_Jaipur_Grey_Embroidery_Kurta_For_Women.jpg,https://i.ibb.co/gPNrmZv/f52295086c7f.jpg,
Adaa_Jaipur_Grey_Straight__Kurta.jpg,https://i.ibb.co/w7ZpKGZ/55c171fe131a.jpg,
Adaa_Jaipur_Long_Gown_With_Chinon_Dupatta_Heavy_Embroidery_Work_With_Sequence_Mirror_Work__Black_.jpg,https://i.ibb.co/QHR1TcG/e4b38e1d32f5.jpg,
Adaa_Jaipur_Long_Gown_With_Chinon_Dupatta_Heavy_Embroidery_Work_With_Sequence_Mirror_Work__Pink_.jpg,https://i.ibb.co/9rfc0F3/8bde258dfbbc.jpg,
Adaa_Jaipur_Long_Gown_With_Chinon_Dupatta_Heavy_Embroidery_Work__Pink_.jpg,https://i.ibb.co/zfH5DsF/63411f875a66.jpg,
Adaa_Jaipur_Long_Gown_With_Chinon_Dupatta_Heavy_Embroidery_Work_With_Sequence_Mirror_Work__Teal_Blue_.jpg,https://i.ibb.co/JB8qQTQ/cfb3c70cc277.jpg,
Adaa_Jaipur_Long_Gown_With_Chinon_Dupatta_Heavy_Embroidery_Work_With_Sequence_Mirror_Work_____Blue_.jpg,https://i.ibb.co/hsR725F/1acf139c9c83.jpg,
Adaa_Jaipur_Long_Gown_With_Chinon_Dupatta_Lace_Work.jpg,https://i.ibb.co/C7LWHnN/a5a98d7f3c2b.jpg,
Adaa_Jaipur_Long_Gown_With_Malmal_Dupatta_Embroidery_Work_With_Sequence_Mirror_Work__Yellow_.jpg,https://i.ibb.co/XX2DtbL/cd2d56a4c0a2.jpg,
Adaa_Jaipur_Long_Gown_With_Malmal_Dupatta_Kantha_Work___Pink_.jpg,https://i.ibb.co/HB2MQhW/92e2a7bad698.jpg,
Adaa_Jaipur_Long_Gown_With_Malmal_Dupatta_Sequence_Work__Green_.jpg,https://i.ibb.co/zrNrF26/59f6e215e43b.jpg,
Adaa_Jaipur_Long_Gown_With_Malmal_Dupatta_Sequence__Work__Grey_.jpg,https://i.ibb.co/RBCyB0R/0f0f122a6da5.jpg,
Adaa_Jaipur_Maroon_Anarkali_Printed_Kurta_Set.jpg,https://i.ibb.co/25gJdhG/30e98055e737.jpg,
Adaa_Jaipur_Navy_Blue_Printed_Cotton_A_Line_Straight_Kurta.jpg,https://i.ibb.co/88QNSYq/d22dfcaf66f4.jpg,
Adaa_Jaipur_Off_White_Printed_Flex_A_Line_Straight_Kurta.jpg,https://i.ibb.co/kDFZcrj/5ec28e4ddc89.jpg,
Adaa_Jaipur_Orange_Straight__Kurta.jpg,https://i.ibb.co/58q8Rrd/48a129ea015f.jpg,
Adaa_Jaipur_Pink_Embroidery_Kurta_For_Women.jpg,https://i.ibb.co/rmgqhzf/3bfc2e320fa6.jpg,
Adaa_Jaipur_Pink_Printed_Cotton_A_Line_Straight_Kurta.jpg,https://i.ibb.co/jM9H9S4/fa9800756611.jpg,
Adaa_Jaipur_Pupple_Printed_Cotton_A_Line_Straight_Kurta.jpg,https://i.ibb.co/93WFqNQ/6a8b1b7fae9e.jpg,
